"areas","areaLabel"
"http://dbpedia.org/resource/French_Polynesia","French Polynesia"
"http://dbpedia.org/resource/Dominican_Republic","Dominican Republic"
"http://dbpedia.org/resource/Greenland","Greenland"
"http://dbpedia.org/resource/Indonesia","Indonesia"
"http://dbpedia.org/resource/New_Zealand","New Zealand"
"http://dbpedia.org/resource/Puerto_Rico","Puerto Rico"
"http://dbpedia.org/resource/Mexico","Mexico"
"http://dbpedia.org/resource/Marshall_Islands","Marshall Islands"
"http://dbpedia.org/resource/Pakistan","Pakistan"
"http://dbpedia.org/resource/Malawi","Malawi"
"http://dbpedia.org/resource/Mozambique","Mozambique"
"http://dbpedia.org/resource/Japan","Japan"
"http://dbpedia.org/resource/Philippines","Philippines"
"http://dbpedia.org/resource/Madagascar","Madagascar"
"http://dbpedia.org/resource/North_Korea","North Korea"
"http://dbpedia.org/resource/Nicaragua","Nicaragua"
"http://dbpedia.org/resource/Mauritius","Mauritius"
